"V1","V2","V3","V4","V5","V6","V7"
"144: 多良間村仲筋","n","i","b","u","?","i"
"144: 石垣市平久保","n","u","b","-","-","i"
"","","","","","",""
"145: 多良間村仲筋","n","i","b","u","?","i"
"145: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"146: 多良間村仲筋","n","i","b","u","?","i"
"146: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"147: 多良間村仲筋","n","i","b","u","?","i"
"147: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"148: 多良間村仲筋","n","i","b","u","?","i"
"148: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"149: 多良間村仲筋","n","i","b","u","?","i"
"149: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"150: 多良間村仲筋","n","i","b","u","?","i"
"150: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"151: 多良間村仲筋","n","i","b","u","?","i"
"151: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"152: 多良間村仲筋","n","i","b","u","?","i"
"152: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"153: 多良間村仲筋","n","i","b","u","?","i"
"153: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"154: 石垣市登野城","n","u","b","i","",""
"154: 石垣市大浜","n","u","b","y","",""
"","","","","","",""
"155: 石垣市登野城","n","u","b","i","",""
"155: 石垣市宮良","n","u","b","i","",""
"","","","","","",""
"156: 石垣市登野城","n","u","b","i","",""
"156: 石垣市平久保","n","u","b","i","",""
"","","","","","",""
"157: 石垣市登野城","n","u","b","-","-","i"
"157: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"158: 石垣市登野城","n","u","b","-","-","i"
"158: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"159: 石垣市登野城","n","u","b","i","",""
"159: 竹富町黒島","n","u","b","i","",""
"","","","","","",""
"160: 石垣市登野城","n","u","b","-","-","i"
"160: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"161: 石垣市登野城","n","u","b","i","",""
"161: 竹富町古見","n","u","b","i","",""
"","","","","","",""
"162: 石垣市登野城","n","u","b","i","",""
"162: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"163: 石垣市登野城","n","u","b","i","",""
"163: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"164: 石垣市登野城","n","u","b","i","",""
"164: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"165: 石垣市登野城","n","u","b","i","",""
"165: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"166: 石垣市大浜","n","u","b","y","",""
"166: 石垣市宮良","n","u","b","i","",""
"","","","","","",""
"167: 石垣市大浜","n","u","b","y","",""
"167: 石垣市平久保","n","u","b","i","",""
"","","","","","",""
"168: 石垣市大浜","n","u","b","-","-","y"
"168: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"169: 石垣市大浜","n","u","b","-","-","y"
"169: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"170: 石垣市大浜","n","u","b","y","",""
"170: 竹富町黒島","n","u","b","i","",""
"","","","","","",""
"171: 石垣市大浜","n","u","b","-","-","y"
"171: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"172: 石垣市大浜","n","u","b","y","",""
"172: 竹富町古見","n","u","b","i","",""
"","","","","","",""
"173: 石垣市大浜","n","u","b","y","",""
"173: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"174: 石垣市大浜","n","u","b","y","",""
"174: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"175: 石垣市大浜","n","u","b","y","",""
"175: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"176: 石垣市大浜","n","u","b","y","",""
"176: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"177: 石垣市宮良","n","u","b","i","",""
"177: 石垣市平久保","n","u","b","i","",""
"","","","","","",""
"178: 石垣市宮良","n","u","b","-","-","i"
"178: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"179: 石垣市宮良","n","u","b","-","-","i"
"179: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"180: 石垣市宮良","n","u","b","i","",""
"180: 竹富町黒島","n","u","b","i","",""
"","","","","","",""
"181: 石垣市宮良","n","u","b","-","-","i"
"181: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"182: 石垣市宮良","n","u","b","i","",""
"182: 竹富町古見","n","u","b","i","",""
"","","","","","",""
"183: 石垣市宮良","n","u","b","i","",""
